100	2	2
200	6	5
300	11	9
400	16	14
500	23	21
600	31	29
700	39	36
800	49	47
900	66	60
1000	75	66
1100	85	79
1200	99	95
1300	114	226
1400	130	126
1500	148	142
1600	165	161
1700	187	177
1800	210	192
1900	232	215
2000	254	235
2100	278	258
2200	304	281
2300	329	310
2400	354	331
2500	382	362
2600	414	386
2700	438	416
2800	470	441
2900	502	476
3000	538	506
3100	589	540
3200	607	577
3300	647	605
3400	682	645
3500	722	687
3600	776	725
3700	811	768
3800	836	802
3900	885	848
4000	919	888
4100	1001	950
4200	1029	978
4300	1103	1052
4400	1182	1092
4500	1171	1127
4600	1225	1172
4700	1265	1230
4800	1332	1286
4900	1383	1343
5000	1469	1405
5100	1502	1453
5200	1575	1492
5300	1636	1560
5400	1688	1623
5500	1758	1700
5600	1794	1743
5700	1876	1822
5800	1933	1862
5900	2019	1978
6000	2068	2020
6100	2168	2103
6200	2224	2160
6300	2347	2249
6400	2446	2315
6500	2458	2376
6600	2536	2485
6700	2657	2571
6800	2736	2678
6900	2786	2702
7000	2856	2812
7100	3024	2991
7200	3084	3013
7300	3102	3091
7400	3198	3141
7500	3308	3245
7600	3508	3530
7700	3519	3427
7800	3592	3483
7900	3643	3603
8000	3801	3711
8100	4007	3852
8200	4097	3894
8300	4181	4045
8400	4460	4377
8500	4296	4147
8600	4410	4372
8700	4558	4416
8800	4716	4657
8900	4878	4879
9000	4877	4832
9100	4945	4902
9200	5159	5041
9300	5372	5290
9400	5461	5410
9500	5522	5414
9600	5684	5602
9700	5880	5713
9800	5873	5948
9900	6048	6074
10000	6100	6079
