100	7425	6535
110	8185	8342
120	8115	6468
130	9288	8812
140	10679	14536
150	10653	8980
160	12532	11272
170	14003	12307
180	14808	16724
190	14604	12735
200	15156	13530
210	16894	16428
220	17070	15544
230	18368	16307
240	18905	17087
250	21143	18574
260	24241	21587
270	25135	20071
280	27627	21945
290	23973	21311
300	25471	24484
310	28117	25265
320	32768	28640
330	29981	27821
340	32287	29277
350	36895	31041
360	31811	29857
370	49408	35238
380	34719	30398
390	36513	33308
400	37641	36855
410	38068	37469
420	39533	34726
430	39139	35289
440	40725	49100
450	45645	41069
460	45237	41859
470	47910	40824
480	44499	40203
490	46815	41170
500	46883	41972
510	48726	56138
520	47242	44031
530	50444	45249
540	52011	49207
550	52815	47255
560	54263	48149
570	61783	49397
580	59736	52824
590	57832	51143
600	58883	51755
610	59960	53876
620	60634	53651
630	63945	55635
640	65786	60163
650	65779	70622
660	67022	57619
670	68025	59452
680	67789	60658
690	70003	61367
700	71261	62957
710	77503	68947
720	71721	64156
730	74621	64962
740	75655	67124
750	88509	67402
760	77259	68545
770	79472	71390
780	88937	72703
790	95044	79802
800	85333	82016
810	89065	82712
820	96738	75452
830	89580	76094
840	87335	77615
850	91424	78349
860	91328	79693
870	102467	81539
880	91304	80976
890	94527	82633
900	93548	82908
910	96652	84490
920	103533	94121
930	99080	86573
940	98212	87369
950	101629	88250
960	101302	89320
970	103765	90794
980	105623	91503
990	106346	92298
1000	107435	93740
